C:\Users\IdoYe\PycharmProjects\Research_Implementing\venv\Scripts\python.exe C:/Users/IdoYe/PycharmProjects/Research_Implementing/common/static_routing/multiple_matrices_MCF.py -p C:\Users\IdoYe\PycharmProjects\Research_Implementing\common\TMs_DB\ScaleFree70Nodes\ScaleFree70Nodes_tms_70X70_length_512_gravity_sparsity_0.3 -n 512
INFO:Creating Network Class
Network ScaleFree70Nodes has been created
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
  # Matrix    Congestion using multiple MCF - LP    Congestion using LP optimal    Ratio
       475                                1.2822                       1.14626   1.1186
       476                                1.2367                       0.97449   1.26907
       477                                1.5642                       1.29177   1.21089
       478                                1.5458                       1.44133   1.07248
       479                                1.2107                       0.989796  1.22318
       480                                1.6801                       1.30464   1.28778
       481                                1.6531                       1.354     1.2209
       482                                1.1153                       0.943878  1.18161
       483                                1.3442                       1.0727    1.25309
       484                                1.5501                       1.38571   1.11863
       485                                1.2961                       1.0021    1.29338
       486                                1.6964                       1.25765   1.34886
       487                                1.2177                       1.01531   1.19934
       488                                1.6307                       1.21684   1.34011
       489                                1.3759                       1.17092   1.17506
       490                                1.6908                       1.22213   1.38348
       491                                1.599                        1.33742   1.19559
       492                                1.4227                       1.17443   1.2114
       493                                1.449                        1.2186    1.18907
       494                                1.3773                       1.05603   1.30422
       495                                1.3103                       1.05204   1.24548
       496                                1.6028                       1.22959   1.30352
       497                                1.2793                       1.06308   1.20339
       498                                1.6915                       1.25348   1.34944
       499                                1.4908                       1.22524   1.21674
       500                                1.4563                       1.16582   1.24917
       501                                1.3634                       1.16569   1.16961
       502                                1.459                        1.28689   1.13374
       503                                1.4743                       1.14184   1.29117
       504                                1.8588                       1.49681   1.24184
       505                                1.3223                       1.0102    1.30894
       506                                1.3904                       1.1949    1.16361
       507                                1.4064                       1.0433    1.34802
       508                                1.5027                       1.22371   1.22799
       509                                1.444                        1.13792   1.26899
       510                                1.3504                       1.1354    1.18936
       511                                1.2399                       0.997085  1.24352
LP Expected Objective :1.4649537776562833

Process finished with exit code 0
